,UF,Município,Estabelecimento,Tipo,Endereço
1,AC,Brasiléia,"CAPS I CENTRO DE ATENDIMENTO PSICOSSOCIAL","CAPS I","JOSE KAIRALA, 113 Bairro: RAIMUNDO CHAAR CEP: 69932000 Fone: 6835465896"
2,AC,"Cruzeiro do Sul","CENTRO DE ATENCAO PSICOSSOCIAL CAPS NAUAS TEREZA BILOTO","CAPS II","RUA ABSOLON MOREIRA, 231 Bairro: CENTRO CEP: 69980000 Fone: 68 3322 1060"
3,AC,Epitaciolândia,"PREFEITURA MUNICIPAL DE EPITACIOLANDIA CAPS I","CAPS I","SAO SEBASTIAO, S/N Bairro: JOSE HASSEM CEP: 69934000"
4,AC,"Mâncio Lima","CAPS NOVA VIDA RAIMUNDO MOREIRA MARQUES","CAPS I","AVENIDA JAPIIM, 355 Bairro: CENTRO CEP: 69990000 Fone: 6833431126"
5,AC,"Rio Branco","CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E OUTRAS DROGAS III","CAPS AD III","RUA LUIZ Z DA SILVA, 364 Bairro: ESTACAO EXPERIMENTAL CEP: 69918452 Fone: (68) 3227 5134"
6,AL,"Água Branca","CENTRO DE ATENCAO PSICOSSOCIAL JOYCE DE MILLE","CAPS I","AL 145, S/N Bairro: RODOVIA PERIFERIA CEP: 57490000 Fone: (82) 3644-1137"
7,AL,Anadia,"CAPS ESPERANCA","CAPS I","AVENIDA HERMES DA MATA FONSECA, S/N Bairro: CENTRO CEP: 57660000 Fone: (82)998007926"
8,AL,Arapiraca,"CAPS AD","CAPS AD","AV DEPUTADA CECI CUNHA, 960 Bairro: ITAPUA CEP: 57314105"
9,AL,Arapiraca,"CENTRO NISE DA SILVEIRA CAPS ARAPIRACA","CAPS II","AVENIDA VICENTE NUNES DE ALBUQUERQUE, 611 Bairro: CAITITUS CEP: 57311247 Fone: (82)35221051"
10,AL,Atalaia,"CAPS DR LUIZ AUGUSTO DA ROCHA TENORIO","CAPS I","RUA JOSE TOMAZ NONO, S/N Bairro: JOSE PAULINO CEP: 57690000 Fone: 82 99121-3151"
11,AL,Batalha,"CAPS DEPUTADO LUIZ DANTAS","CAPS I","RUA PROFESSOR ARTHUR RAMOS, S/N Bairro: CENTRO CEP: 57420000 Fone: 3531-1233"
12,AL,"Boca da Mata","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA JOSE PALMEIRA SAMPAIO, S/N Bairro: MUTIRAO CEP: 57680000 Fone: 32791380"
13,AL,Cajueiro,"CENTRO DE ATENCAO PSICOSOCIAL DR MANOEL SABINO COSTA","CAPS I","RUA LARGO DA LIBERDADE, S/N Bairro: CENTRO CEP: 57770000 Fone: 82 3284-1597"
14,AL,"Campo Alegre","CENTRO DE ATENCAO PSICOSSOCIAL DE CAMPO ALEGRE","CAPS I","AVENIDA PREFEITO JORGE CAVALCANTE MADEIRO, S/N Bairro: CENTRO CEP: 57250000 Fone: 32751183"
15,AL,Canapi,"CAPS I HERMES FRANCISCO DE LIMA","CAPS I","AV JOAQUIM TETE, S/N Bairro: CENTRO CEP: 57530000"
16,AL,Capela,"CAPS DR JOAO TOLEDO ESPACO NOVA VIDA","CAPS I","AVENIDA GERCINO MOREIRA, S/N Bairro: CENTRO CEP: 57780000 Fone: (82)32871232"
17,AL,"Colônia Leopoldina","CAPS CENTRO DE ATENCAO PSICOSSOCIAL LEOPOLDINENSE","CAPS I","RUA SEVERINO FERREIRA DE LIMA, 23 Bairro: CENTRO CEP: 57975000 Fone: 82 3255-1118"
18,AL,Coruripe,"CENTRO DE ATENCAO PSICOSSOCIAL DR DJALMA GUTTEMBERG BREDA","CAPS I","RUA VERIADOR EDGAR CASSIANO SANTOS, S/N Bairro: ZEQUINHA AZEVEDO CEP: 57230000 Fone: (82) 2731019"
19,AL,Craíbas,"CAPS SEBASTIAO MALAQUIAS DA SILVA","CAPS I","RUA 23 DE ABRIL, S/N Bairro: CENTRO CEP: 57320000 Fone: (82)3527-1113"
20,AL,"Delmiro Gouveia","CAPS I DR GAUDENCIO MARTINS LISBOA NETO","CAPS I","RUA ENG NILTON CAVALCANTE, 62 Bairro: NOVO CEP: 57480000"
21,AL,"Feira Grande","CAPS DOMINGOS APOSTOLO DE LIRA","CAPS I","RUA JANUARIO JOSE DE LIRA, S/N Bairro: CENTRO CEP: 57340000"
22,AL,"Girau do Ponciano","CENTRO PSICOSSOCIAL DRA ANDREA NASCIMENTO BRITO","CAPS I","AVENIDA PROGRESSO, 269 Bairro: PROGRESSO CEP: 57360000"
23,AL,Ibateguara,"CAPS EXPEDITO ANTONIO DA SILVA","CAPS I","RUA SANTA RITA, S/N Bairro: CENTRO CEP: 57890000 Fone: 32031217"
24,AL,"Igreja Nova","CAPS MUNICIPAL DE IGREJA NOVA","CAPS I","PRACA FREI CLEMENTE SAGAM, S/N Bairro: CENTRO CEP: 57280000 Fone: (82) 35541103"
25,AL,"Joaquim Gomes","CAPS I JOSE ANGELO DA SILVA","CAPS I","PCA LAURENTINO GOMES DE BARROS, 01 Bairro: CENTRO CEP: 57980000 Fone: 82-3252-1485"
26,AL,Junqueiro,"CENTRO DE APOIO PSICOSSOCIAL CAPS EMILIA BARBOSA","CAPS I","TEODORO DO ROSARIO, 483 Bairro: ALTO DO CRUZEIRO CEP: 57270000 Fone: 82 35411218"
